,Rent,House ID,Square meters house,Number of Bedrooms,Location,Description,rent_per_sqrmeter
46,880,2110550109,60,1,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 880 € /month     6 to 12 month lease: 930 € /month   2 to 6 month lease: 1,080 € /month     ...                        ",14.66666667
47,500,2110494413,122,2,Platia Kanigos (Athens)," 25/12/2020 - Apartment for rent in the center of Athens, next to the National Metsovio Polytechnic Univercity.  This is a front apartment of 122 sq.m., on the 5 ...                        ",4.098360656
48,1580,2110564347,121,3,Kentro (Athens)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,580 € /month     6 to 12 month lease: 1,620 € /month   2 to 6 month lease: 1,670 € /month ...                        ",13.05785124
49,780,2110393647,55,1,Kolonaki (Kolonaki - Lykavittos), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 780 € /month     6 to 12 month lease: 830 € /month   2 to 6 month lease: 920 € /month     1 ...                        ,14.18181818
50,850,217752674,50,1,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - Athens, Kolonaki, Apartment For Rent, 50 sq.m., Property Status: Refurbished, Floor: 2nd, 1 Level(s), 1 Bedrooms 1 Kitchen(s), 1 Bathroom(s), Heati ...                        ",17
51,1380,217732337,100,2,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - Athens, Kolonaki, Apartment For Rent, 100 sq.m., Property Status: Amazing, Floor: 1rst, 1 Level(s), 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, H ...                        ",13.8
52,1650,217752681,130,3,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - Athens, Kolonaki, Apartment For Rent, 130 sq.m., Property Status: Refurbished, Floor: 1rst, 3 Bedrooms Heating: Central Natural Gas, View: In front ...                        ",12.69230769
53,850,2110556605,113,3,Nea Filothei (Athens)," 24/12/2020 - Property Code: 91-735 -  FOR RENT  3 Bedrooms,  Apartment of total surface 113 sq.m, on the 1 st floor Ampelokipoi - Pentagon Nea Filothei . The pr ...                        ",7.522123894
54,650,2110293204,52,1,Koukaki - Makrygianni (Athens - Center), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 650 € /month     6 to 12 month lease: 690 € /month   2 to 6 month lease: 630 € /month     1 ...                        ,12.5
55,590,2110159433,50,1,Sintagma (Athens), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 590 € /month     6 to 12 month lease: 620 € /month   2 to 6 month lease: 640 € /month     1 ...                        ,11.8
56,1070,2110515815,75,2,Ampelokipoi (Athens)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,070 € /month     6 to 12 month lease: 1,130 € /month   2 to 6 month lease: 1,250 € /month ...                        ",14.26666667
57,2000,2110095920,105,2,Akropoli (Athens), 24/12/2020 - For rent renovated apartment (2019) on the second floor of 105 sq.m. with a unique view to the Parthenon due to the close distance from the archaeo ...                        ,19.04761905
58,850,2110454724,70,1,Hilton (Athens), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 850 € /month     6 to 12 month lease: 900 € /month   2 to 6 month lease: 950 € /month     1 ...                        ,12.14285714
59,700,2110282751,109,2,Akadimia (Athens)," 24/12/2020 - Athens, Akadimia, Apartment For Rent, 109 sq.m., Property Status: Renovated, Floor: Ground floor, 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, Hea ...                        ",6.422018349
60,700,219684487,60,2,Kentro (Athens), 24/12/2020 - Apartment of 60 sq. m. is situated at Athens downtown near-by the National Archaeological Museum and Omonia Square on a top floor of a 7-storey res ...                        ,11.66666667
61,550,219682621,30,1,Kentro (Athens), 24/12/2020 - Studio apartment of 30 sq. m. is situated at Athens downtown near-by the National Archaeological Museum and Omonia Square on a top floor of a 7-sto ...                        ,18.33333333
62,1380,217752673,95,2,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - Athens, Kolonaki, Apartment For Rent, 95 sq.m., Property Status: Refurbished, Floor: 2nd, 1 Level(s), 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, ...                        ",14.52631579
